iter	RMSE
0	341.2134907
1	224.4719176
2	165.6462928
3	132.9828152
4	117.0586031
5	102.1110472
6	91.96623159
7	87.45475051
8	81.52553199
9	76.36353666
10	72.50745142
11	69.67968734
12	68.08001962
13	64.6318817
14	62.67630741
15	61.075064
16	59.93557481
17	56.97352936
18	55.12646727
19	52.52579505
20	51.52420091
21	49.6077926
22	48.54146308
23	47.28309986
24	46.55305658
25	45.58424709
26	44.22865247
27	42.86988794
28	42.04891971
29	41.56053686
30	41.03900626
31	40.33737734
32	39.07078252
33	38.47663543
34	36.69858821
35	35.49879694
36	34.55883274
37	33.69582776
38	33.33967488
39	33.02734402
40	32.44902681
41	32.12955816
42	31.156671
43	30.10900696
44	29.55550169
45	29.20191915
46	28.56330943
47	28.33364748
48	28.03657808
49	26.81788415
50	26.61145572
51	26.39123325
52	26.23869017
53	25.95408312
54	24.76494458
55	24.1567988
56	23.65752141
57	23.25285873
58	23.06554831
59	22.666153
60	22.36419122
61	22.21669091
62	21.9073391
63	21.3730304
64	20.99026663
65	20.5152303
66	20.2967996
67	20.1962033
68	19.81938753
69	19.71981993
70	19.57395318
71	19.25183665
72	19.11016664
73	18.67172559
74	18.44713451
75	18.07381846
76	17.94453487
77	17.68309773
78	17.42933793
79	17.06384725
80	16.97525506
81	16.80591045
82	16.55047902
83	16.34107657
84	16.24401542
85	16.14343515
86	15.99648931
87	15.77129414
88	15.6215575
89	15.52032197
90	15.43943346
91	15.17489935
92	14.72729291
93	14.65119769
94	14.49475946
95	14.2283576
96	14.07126564
97	13.93192771
98	13.74751552
99	13.64479847
