iter	Passed	Remaining
0	9	895
1	15	762
2	19	642
3	23	560
4	26	503
5	29	458
6	31	423
7	34	393
8	36	367
9	38	345
10	40	325
11	42	309
12	44	294
13	45	281
14	47	269
15	49	259
16	51	250
17	53	242
18	54	234
19	57	229
20	59	224
21	61	218
22	63	212
23	65	207
24	67	202
25	69	197
26	71	193
27	73	188
28	75	184
29	77	181
30	80	180
31	83	177
32	86	176
33	88	172
34	90	168
35	92	165
36	94	161
37	97	158
38	99	155
39	101	152
40	103	148
41	105	145
42	107	142
43	109	138
44	110	135
45	112	132
46	114	129
47	116	126
48	118	123
49	120	120
50	121	117
51	123	114
52	125	111
53	127	108
54	128	105
55	130	102
56	132	99
57	134	97
58	135	94
59	137	91
60	139	89
61	141	86
62	142	83
63	144	81
64	146	78
65	148	76
66	149	73
67	151	71
68	153	68
69	155	66
70	156	64
71	160	62
72	162	59
73	163	57
74	165	55
75	167	52
76	169	50
77	170	48
78	173	46
79	175	43
80	177	41
81	178	39
82	180	37
83	182	34
84	184	32
85	186	30
86	187	28
87	189	25
88	191	23
89	193	21
90	194	19
91	196	17
92	198	14
93	200	12
94	202	10
95	203	8
96	205	6
97	207	4
98	208	2
99	210	0
